STATE,COUNTY,POP,CASES,PCI,MHI,OVER65
Nebraska,Cass County,25241,23,27463,60350,3603
North Dakota,Cass County,149778,87,29638,64697,14550
Texas,Cass County,30464,36,30529,52590,5815
Idaho,Cassia County,22952,8,20104,35598,2954
Texas,Castro County,8062,5,17801,42039,1077
North Carolina,Caswell County,23719,25,19708,36402,3755
Louisiana,Catahoula Parish,10407,12,17975,35315,1503
North Carolina,Catawba County,154358,139,19970,36165,21773
Georgia,Catoosa County,63942,55,23232,44332,8656
New Mexico,Catron County,3725,4,21690,47087,1041
New York,Cattaraugus County,80317,73,20616,39826,12419
North Dakota,Cavalier County,3993,4,22049,42603,1022
New York,Cayuga County,80026,92,32028,55904,12235
Maryland,Cecil County,101108,100,24702,51581,21809
Iowa,Cedar County,18499,17,29518,66689,3093
Missouri,Cedar County,13982,17,26567,58088,3126
Nebraska,Cedar County,8852,6,16362,30302,1804
Pennsylvania,Centre County,153990,74,25738,48038,17366
Iowa,Cerro Gordo County,44151,47,25545,50336,7919
Colorado,Chaffee County,17809,11,27291,44795,3523
Alabama,Chambers County,34215,34,27182,46504,5706
Texas,Chambers County,35096,24,19291,32402,3294
Illinois,Champaign County,201081,100,30140,72489,20066
Ohio,Champaign County,40097,37,25713,45808,5758
Missouri,Chariton County,7831,10,23358,49157,1675
Virginia,Charles City County,7256,6,19481,39385,8685
Maryland,Charles County,146551,78,37277,93160,11875
South Dakota,Charles Mix County,9129,7,26198,48428,1619
South Carolina,Charleston County,350209,267,19030,40102,44721
Michigan,Charlevoix County,25949,25,30158,50792,4833
Florida,Charlotte County,159978,250,26947,45949,54599
Virginia,Charlotte County,12586,15,26286,44378,3744
Virginia,Charlottesville city,43475,21,18762,33015,3251
Georgia,Charlton County,12171,10,27268,44601,1543
Kansas,Chase County,2790,,17102,40111,591
Nebraska,Chase County,3966,4,21775,36815,810
Georgia,Chatham County,265128,189,28241,45610,32864
North Carolina,Chatham County,63505,54,25093,45794,11631
Georgia,Chattahoochee County,11267,4,31175,57091,420
Georgia,Chattooga County,26015,29,20042,48758,3801
Kansas,Chautauqua County,3669,,16045,33228,896
New York,Chautauqua County,134905,124,21245,39529,22381
New Mexico,Chaves County,65645,42,22168,42429,9293
Tennessee,Cheatham County,39105,41,19492,39131,4250
Michigan,Cheboygan County,26152,35,23459,52446,5621
Washington,Chelan County,72453,51,23412,38410,11175
New York,Chemung County,88830,87,25893,51354,13943
New York,Chenango County,50477,51,25329,48804,8403
Alabama,Cherokee County,25989,32,22097,43941,4651
Georgia,Cherokee County,214346,139,22030,34907,19698
Iowa,Cherokee County,12072,12,29615,67261,2604
Kansas,Cherokee County,21603,,26330,48977,3448
North Carolina,Cherokee County,27444,41,19580,39746,6284
Oklahoma,Cherokee County,46987,42,18340,34432,6338
South Carolina,Cherokee County,55342,55,18582,37260,7442
Texas,Cherokee County,50845,52,18240,34202,7608
Nebraska,Cherry County,5713,3,18801,38378,1190
Virginia,Chesapeake city,222209,149,25213,45464,3712
New Hampshire,Cheshire County,77117,66,29905,69743,11342
Pennsylvania,Chester County,498886,321,27874,55155,63875
South Carolina,Chester County,33140,36,42210,86050,4835
Tennessee,Chester County,17131,17,18098,33103,2500
South Carolina,Chesterfield County,46734,45,18817,41875,6332
Virginia,Chesterfield County,316236,214,17140,31252,5837
Colorado,Cheyenne County,1836,2,32572,72088,328
Kansas,Cheyenne County,2726,,23647,51641,717
Nebraska,Cheyenne County,9998,7,23677,37875,1592
Iowa,Chickasaw County,12439,11,28296,51529,2376
Mississippi,Chickasaw County,17392,18,24139,43971,2512
Arkansas,Chicot County,11800,14,16677,31061,2149
Texas,Childress County,7041,5,16538,26201,1065
Alabama,Chilton County,43643,35,20248,47532,5921
Michigan,Chippewa County,38520,35,20701,41250,5627
Minnesota,Chippewa County,12441,,20589,41637,2400
Wisconsin,Chippewa County,62415,52,25993,49434,8935
Minnesota,Chisago County,53887,,24628,50551,6247
Vermont,Chittenden County,156545,101,27914,67157,17685
Alabama,Choctaw County,13859,10,33281,63989,2519
Mississippi,Choctaw County,8547,8,20323,33941,1486
Oklahoma,Choctaw County,15205,15,17145,29876,2759
Montana,Chouteau County,5813,5,17739,30201,1008
North Carolina,Chowan County,14793,15,21737,40070,2908
Illinois,Christian County,34800,45,19240,34420,6096
Kentucky,Christian County,73955,49,23915,45145,7593
Missouri,Christian County,77422,53,19773,38904,9464
Nevada,Churchill County,24877,21,25134,52838,9133
New Mexico,Cibola County,27213,11,24716,49830,3486
Oklahoma,Cimarron County,2475,2,16129,37237,530
Florida,Citrus County,141236,232,23514,38301,45041
Oregon,Clackamas County,375992,260,23148,39100,51231
Mississippi,Claiborne County,9604,10,32781,64352,1165
Tennessee,Claiborne County,32213,52,17512,32996,5142
Louisiana,Claiborne Parish,17195,13,12177,23689,2754
Washington,Clallam County,71404,87,18583,33229,17189
Michigan,Clare County,30926,41,25865,46033,6167
South Carolina,Clarendon County,34971,37,18148,32668,5867
Pennsylvania,Clarion County,39988,29,17665,31410,6566
Arkansas,Clark County,22995,22,21902,42389,3410
Idaho,Clark County,982,2,17960,32721,129
Illinois,Clark County,16335,18,20032,33200,2946
Indiana,Clark County,110232,120,24296,47405,14055
Kansas,Clark County,2215,,24312,50496,487
Kentucky,Clark County,35613,44,25385,41129,5046
Missouri,Clark County,7139,8,24524,45853,1261
Nevada,Clark County,1951269,1181,20279,40204,3781
Ohio,Clark County,138333,145,26217,52873,22422
South Dakota,Clark County,3691,2,22780,43136,804
Washington,Clark County,425363,285,27878,49055,48710
Wisconsin,Clark County,34690,21,27681,58225,5413
Alabama,Clarke County,25833,22,20754,43276,4174
Georgia,Clarke County,116714,55,18979,29357,9952
Iowa,Clarke County,9286,11,19295,33060,1549
Mississippi,Clarke County,16732,15,23472,43216,2741
Virginia,Clarke County,14034,13,18066,31362,1214
Oregon,Clatsop County,37039,35,38748,77597,6160
Alabama,Clay County,13932,17,25680,44683,2449
Arkansas,Clay County,16083,24,18694,34002,3220
Florida,Clay County,190865,176,18509,31502,22292
Georgia,Clay County,3183,2,26577,59482,623
Illinois,Clay County,13815,18,12982,21192,2468
Indiana,Clay County,26890,31,22279,40640,4051
Iowa,Clay County,16667,14,21474,46430,3066
Kansas,Clay County,8535,,29060,49035,1744
Kentucky,Clay County,21730,32,24503,45233,2622
