city,country,continent,area_total,population_total,popdens,nbhd_num,GDPpc_mean,income_mean,PM25_mean,PM25.UESI,NO2_mean,NO2.UESI,UHI_mean,UHI.UESI,TREECAP_mean,TREECAP.UESI,PUBTRANS_mean,PUBTRANS.UESI,TRANSCOV_mean,TRANSCOV.UESI
guangzhou,China,Asia,7202800000,14904481,2069.262093,11,5.41690962,48822.63636,33.1679035,0.28,33.35760178,20.53,3.969130133,59.12,329.6218512,95.73,3593.373277,55.4,0.450325419,75.04
hamburg,Germany,Europe,744371162.4,1885373,2532.839926,99,15121.32447,42131.58586,12.89278732,63.79,12.92626888,61.31,-7.242879233,98.47,378.7873144,99.92,378.4388673,99.25,0.768390891,94.65
hangzhou,China,Asia,16900000000,7538771,447.4048071,13,4.888821081,NA,39.36195387,4.21,38.07021936,15.91,0.041739193,77.34,1717.906088,97.15,9032.081665,42.54,0.357414241,61.32
harare,Zimbabwe,Africa,662145434.1,1485231,2243.058584,45,192.4072035,NA,12.54564652,66.81,12.41994196,63.27,11.49180846,23.49,361.0027567,100,1788.655989,59.9,0.027037016,11.02
hobart,Australia,Oceania,1147259797,204010,177.8237157,31,646.0277545,5099.096774,1.174813233,100,1.052730296,97.99,-4.821091794,93.73,2652.691,100,1311.279005,72.14,0.444143932,77.18
hochiminh,Viet Nam,Asia,1396762235,7054574,5050.662042,23,162.57663,NA,15.05002003,51.08,14.06975851,57.86,15.48828848,4.65,26.31015102,72.84,1190.648501,78.59,0.564034654,82.51
hongkong,Chinese special administrative region,Asia,1121069648,7365900,6570.421396,18,675.7154518,29777.77778,22.3202574,24.87,22.34630222,38.79,2.342713859,66.5,126.8704326,94.65,935.0034599,83.1,0.577623983,87.01
honolulu,United States of America,Oceania,167174664.8,351628,2103.356991,99,346546.7308,71886.60417,2.046236155,100,1.806524846,96.02,11.62593566,20.79,407.2707549,77.46,503.904191,93.39,0.480825215,62.37
houston,United States of America,North America,4605948982,4553626,988.6401299,736,13613.28438,64067.35479,7.682822458,100,7.726480574,81.73,8.45572741,40.79,407.8148762,97.6,942.7909337,92.68,0.047597106,8.23
istanbul,Turkey,Asia,1559337121,11680385,7490.609208,28,277.5234383,NA,12.40178089,72.59,12.05457623,64.64,0.612749016,74.59,72.54308979,76.75,1625.778499,75.01,0.464390977,76.39
jakarta,Indonesia,Asia,645765422.8,10154584,15724.88034,42,438.583331,19843303.86,33.05421359,0,33.09064449,21.54,15.77839827,1.99,7.998094418,83.78,1241.052218,76.93,0.463219086,78.57
johannesburg,South Africa,Africa,1647732654,4434819,2691.467568,130,786.6541392,77055.45245,42.7652038,0,42.79273958,8.26,8.55128083,40.97,235.7555681,97.21,1690.531885,65.5,0.162232945,30.41
kabul,Afghanistan,Asia,441671416.2,3817241,8642.71687,16,42.43908809,NA,14.62619884,52.36,14.65209529,55.96,5.88565556,52.28,0.104215041,31.27,2215.725922,49.95,0.040466015,25.97
kampala,Uganda,Africa,196126902.7,1507080,7684.208434,95,962.3703847,NA,23.205345,22,22.64227195,38.41,12.89575481,14.31,872.5188802,98.3,755.3885235,96.64,0.113355505,23.92
kiev,Ukraine,Europe,821300000,2611300,3179.471569,10,141.1946488,NA,19.32792267,35.22,19.27913734,46.59,-6.747105395,97.49,176.7012908,100,827.0191408,93.65,0.591829586,88.41
kigali,Rwanda,Africa,732094196.3,1132686,1547.186149,35,70.12017861,NA,24.4851691,17.62,24.12100547,35.16,10.54552137,29.08,687.6652849,100,1400.418884,68.91,0.308284899,61.39
kinshasa,Democratic Republic of Congo,Africa,2029391434,20541517,10122.00833,23,13.01155593,NA,43.26803956,0,40.98872188,11.97,12.69655964,15.55,147.6213853,91.91,3242.189468,52.07,0.109262742,39.16
kolkata,India,Asia,187083778.1,4496694,24035.72371,141,2058.430356,NA,45.43391632,0,45.50910209,3.43,10.13912359,31.77,4.663679381,78.79,610.3629206,96.38,0.39313788,50.79
lagos,Nigeria,Africa,1007239965,10658055,10581.4457,16,28.40438045,NA,18.69354061,37.11,17.99260068,49.07,11.61107761,22.61,74.71696637,98.63,3322.111993,10.73,0.019197045,20.98
lasvegas,United States of America,North America,6330468638,673029,106.3158256,160,9665.803283,56746.7125,6.607889616,100,6.626631122,86.32,11.67738594,22.08,538.1434488,29.3,671.950839,99.95,0.133443265,31.55
lima,Peru,South America,2709971378,8890792,3280.769705,43,778.796952,NA,29.28524192,12.71,26.34699548,32.73,14.50543941,8.32,0.245345579,25.76,2259.58289,69.11,0.274376025,60.55
lisbon,Portugal,Europe,84666098.37,547733,6469.330825,53,38793.8495,NA,6.131060297,100,5.509594308,88.55,2.840354409,63.72,10.63751591,64.56,160.0503946,100,0.939218068,96.1
lome,Togo,Africa,89186083.14,728757,8171.196383,5,645.2222215,NA,19.39196038,35.27,18.92829926,47.35,14.15897074,5.32,243.5628287,100,470.3584712,100,0.582010823,88.6
london,United Kingdom,Europe,1568394544,8835400,5633.403939,33,1004.06299,48584.84848,13.70275539,57.91,13.76724289,58.66,-6.024047761,96.2,37.96281437,98.37,228.628094,100,0.921174402,99.64
losangeles,United States of America,North America,1055162560,3645186,3454.620302,22,776.4061045,54254.68182,18.63952487,37.37,18.30754076,48.4,12.26056123,18.21,52.97837663,87.47,1419.244619,68,0.328347572,72.52
louisville,United States of America,North America,1030662393,764378,741.6376162,191,5960.253884,54570.67368,10.07651056,93.07,9.786194179,72.69,1.160723929,72.19,702.5629927,99.93,858.7880324,88.29,0.294343065,55.64
luanda,Angola,Africa,116048490.2,2194747,18912.32705,6,30.08185211,NA,22.77697902,23.27,21.94944465,40.09,12.70596336,15.51,3.804247163,78.45,1904.269906,61.78,0.248064977,58.59
lyons,France,Europe,47860892.65,520918,10884.00093,9,1487.041981,22422.22222,14.89673048,51.12,13.54903445,59.53,-1.905508814,85.97,12.77297023,86.94,172.5872389,100,0.969420299,100
